brand,brandLabel,sitelinks
http://www.wikidata.org/entity/Q95,Google,209
http://www.wikidata.org/entity/Q462,Star Wars,184
http://www.wikidata.org/entity/Q312,Apple Inc.,182
http://www.wikidata.org/entity/Q2283,Microsoft,175
http://www.wikidata.org/entity/Q53268,Toyota,150
http://www.wikidata.org/entity/Q907311,Netflix,143
http://www.wikidata.org/entity/Q7414,The Walt Disney Company,141
http://www.wikidata.org/entity/Q38076,McDonald’s,137
http://www.wikidata.org/entity/Q8093,Q8093,131
http://www.wikidata.org/entity/Q1422,Juventus FC,130
http://www.wikidata.org/entity/Q37312,Internet Movie Database,129
http://www.wikidata.org/entity/Q3884,Amazon.com,124
http://www.wikidata.org/entity/Q36008,Mercedes-Benz,120
http://www.wikidata.org/entity/Q26678,BMW,117
http://www.wikidata.org/entity/Q584601,Baskin-Robbins,117
http://www.wikidata.org/entity/Q23317,Audi,115
http://www.wikidata.org/entity/Q41187,Sony,114
http://www.wikidata.org/entity/Q37156,IBM,113
http://www.wikidata.org/entity/Q47043,Rubiks kub,112
http://www.wikidata.org/entity/Q44294,Ford Motor Company,112
http://www.wikidata.org/entity/Q193701,SpaceX,111
http://www.wikidata.org/entity/Q1418,Q1418,110
http://www.wikidata.org/entity/Q9584,Honda,106
http://www.wikidata.org/entity/Q81888,AFC Ajax,106
http://www.wikidata.org/entity/Q478214,"Tesla, Inc.",106
http://www.wikidata.org/entity/Q47099,Televisa,105
http://www.wikidata.org/entity/Q66,Boeing,104
http://www.wikidata.org/entity/Q3895,Adidas,104
http://www.wikidata.org/entity/Q689141,Spotify,103
http://www.wikidata.org/entity/Q47719,Pepsi,102
http://www.wikidata.org/entity/Q54078,Ikea,101
http://www.wikidata.org/entity/Q9325,Lufthansa,101
http://www.wikidata.org/entity/Q248,Intel,100
http://www.wikidata.org/entity/Q27586,Ferrari,98
http://www.wikidata.org/entity/Q524757,Kentucky Fried Chicken,97
http://www.wikidata.org/entity/Q67,Airbus,97
http://www.wikidata.org/entity/Q83164,Brittiska ostindiska kompaniet,94
http://www.wikidata.org/entity/Q160120,Huawei,94
http://www.wikidata.org/entity/Q127552,Pixar Animation Studios,93
http://www.wikidata.org/entity/Q21708200,Open AI,93
http://www.wikidata.org/entity/Q158888,Yamaha Motor Company,92
http://www.wikidata.org/entity/Q40993,Porsche,92
http://www.wikidata.org/entity/Q20165,Nissan,90
http://www.wikidata.org/entity/Q79576,Google Play,90
http://www.wikidata.org/entity/Q167447,Barbiedocka,90
http://www.wikidata.org/entity/Q160746,Nestlé,90
http://www.wikidata.org/entity/Q4548,Turkish Airlines,89
http://www.wikidata.org/entity/Q58024,eBay,89
http://www.wikidata.org/entity/Q81965,General Motors,89
http://www.wikidata.org/entity/Q483915,Nike,88
http://www.wikidata.org/entity/Q35339,World Wrestling Entertainment,88
http://www.wikidata.org/entity/Q130879,Reuters,88
http://www.wikidata.org/entity/Q27597,Fiat,88
http://www.wikidata.org/entity/Q11463,Adobe,87
http://www.wikidata.org/entity/Q159766,Holländska ostindiska kompaniet,86
http://www.wikidata.org/entity/Q1636958,Xiaomi,86
http://www.wikidata.org/entity/Q483551,Q483551,85
http://www.wikidata.org/entity/Q380,Meta,85
http://www.wikidata.org/entity/Q80978,Hewlett-Packard,85
http://www.wikidata.org/entity/Q1281055,TV Azteca,85
http://www.wikidata.org/entity/Q35886,Lamborghini,84
http://www.wikidata.org/entity/Q8766,British Airways,83
http://www.wikidata.org/entity/Q35996,Mazda,82
http://www.wikidata.org/entity/Q181642,Suzuki Motor Corporation,82
http://www.wikidata.org/entity/Q14799,Lenovo,82
http://www.wikidata.org/entity/Q101859,VfL Wolfsburg,81
http://www.wikidata.org/entity/Q174769,United Airlines,79
http://www.wikidata.org/entity/Q182477,Nvidia,79
http://www.wikidata.org/entity/Q30873,Dell,79
http://www.wikidata.org/entity/Q35349,Kia,79
http://www.wikidata.org/entity/Q53247,Panasonic Corporation,79
http://www.wikidata.org/entity/Q81230,Siemens AG,79
http://www.wikidata.org/entity/Q29637,Škoda Auto,79
http://www.wikidata.org/entity/Q213271,Bakus tunnelbana,78
http://www.wikidata.org/entity/Q19900,Oracle,78
http://www.wikidata.org/entity/Q259011,Q259011,78
http://www.wikidata.org/entity/Q102673,Gazprom,77
http://www.wikidata.org/entity/Q179200,Metro-Goldwyn-Mayer,77
http://www.wikidata.org/entity/Q15548065,GMA Network,77
http://www.wikidata.org/entity/Q55931,Hyundai Motor Company,76
http://www.wikidata.org/entity/Q206921,Pfizer,76
http://www.wikidata.org/entity/Q26921,Alfa Romeo,76
http://www.wikidata.org/entity/Q105584,Rotten Tomatoes,76
http://www.wikidata.org/entity/Q128896,Advanced Micro Devices,76
http://www.wikidata.org/entity/Q175957,Arduino,76
http://www.wikidata.org/entity/Q49125,Toshiba,75
http://www.wikidata.org/entity/Q170416,Philips,75
http://www.wikidata.org/entity/Q170614,Ryanair,75
http://www.wikidata.org/entity/Q154950,Shell,75
http://www.wikidata.org/entity/Q58707,Aeroflot,75
http://www.wikidata.org/entity/Q9935,Fanta,74
http://www.wikidata.org/entity/Q14647,Sun Microsystems,74
http://www.wikidata.org/entity/Q27530,Daimler AG,74
http://www.wikidata.org/entity/Q178516,Gucci,74
http://www.wikidata.org/entity/Q183231,Bank of England,74
http://www.wikidata.org/entity/Q780442,Uber,73
http://www.wikidata.org/entity/Q3295867,The Coca-Cola Company,73
http://www.wikidata.org/entity/Q122741,Q122741,73
http://www.wikidata.org/entity/Q230051,Alexa Internet,73
http://www.wikidata.org/entity/Q6039733,Togg,72
http://www.wikidata.org/entity/Q188822,Asiatiska utvecklingsbanken,72
http://www.wikidata.org/entity/Q188920,Delta Air Lines,72
http://www.wikidata.org/entity/Q35476,AT&T,72
http://www.wikidata.org/entity/Q20800404,Alphabet,72
http://www.wikidata.org/entity/Q170484,Lego,71
http://www.wikidata.org/entity/Q384060,Tumblr,71
http://www.wikidata.org/entity/Q163810,Volvo,71
http://www.wikidata.org/entity/Q156238,ExxonMobil,71
http://www.wikidata.org/entity/Q5281,Yandex,71
http://www.wikidata.org/entity/Q62621,Canon,71
http://www.wikidata.org/entity/Q2308012,Q2308012,71
http://www.wikidata.org/entity/Q173941,Electronic Arts,70
http://www.wikidata.org/entity/Q188326,Hennes & Mauritz,70
http://www.wikidata.org/entity/Q188514,Tata Motors,70
http://www.wikidata.org/entity/Q1359568,Alibaba Group,70
http://www.wikidata.org/entity/Q32396,American Airlines,70
http://www.wikidata.org/entity/Q32491,Qantas Airways,70
http://www.wikidata.org/entity/Q54173,General Electric,70
http://www.wikidata.org/entity/Q66048,Deutsche Bank,70
http://www.wikidata.org/entity/Q18543,Major League Soccer,70
http://www.wikidata.org/entity/Q183275,Mitsubishi,70
http://www.wikidata.org/entity/Q51779763,Bamboo Airways,70
http://www.wikidata.org/entity/Q152864,ASUS,69
http://www.wikidata.org/entity/Q928831,Seoul Broadcasting System,69
http://www.wikidata.org/entity/Q156578,Volkswagen AG,69
http://www.wikidata.org/entity/Q7240,Lockheed Martin,69
http://www.wikidata.org/entity/Q14772,Baidu,69
http://www.wikidata.org/entity/Q157064,Puma SE,68
http://www.wikidata.org/entity/Q185339,Air Canada,68
http://www.wikidata.org/entity/Q308952,Malaysia Airlines,68
http://www.wikidata.org/entity/Q27074,Aston Martin,68
http://www.wikidata.org/entity/Q154008,Vogue,67
http://www.wikidata.org/entity/Q186012,Q186012,67
http://www.wikidata.org/entity/Q189021,TED,67
http://www.wikidata.org/entity/Q173395,Cisco Systems,67
http://www.wikidata.org/entity/Q499962,Coursera,67
http://www.wikidata.org/entity/Q154037,Total Energies,67
http://www.wikidata.org/entity/Q30113,Jeep,67
http://www.wikidata.org/entity/Q245,Raspberry Pi,66
http://www.wikidata.org/entity/Q193136,Prada,66
http://www.wikidata.org/entity/Q1218180,Nikon Corporation,66
http://www.wikidata.org/entity/Q152051,Bayer AG,66
http://www.wikidata.org/entity/Q152057,BP,66
http://www.wikidata.org/entity/Q35907,Land Rover,66
http://www.wikidata.org/entity/Q234021,Robert Bosch GmbH,66
http://www.wikidata.org/entity/Q4923294,GMM Grammy,66
http://www.wikidata.org/entity/Q157062,Unilever,65
http://www.wikidata.org/entity/Q334800,PepsiCo,65
http://www.wikidata.org/entity/Q32245,Singapore Airlines,65
http://www.wikidata.org/entity/Q376692,Sony Mobile,65
http://www.wikidata.org/entity/Q62288,Rolex,65
http://www.wikidata.org/entity/Q136469,Kindle,64
http://www.wikidata.org/entity/Q187854,Scandinavian Airlines,64
http://www.wikidata.org/entity/Q679322,Saudi Aramco,64
http://www.wikidata.org/entity/Q486269,Eastman Kodak,64
http://www.wikidata.org/entity/Q38903,Universal Music Group,64
http://www.wikidata.org/entity/Q181114,Stellantis North America,64
http://www.wikidata.org/entity/Q328840,VISA,63
http://www.wikidata.org/entity/Q552581,SAP SE,63
http://www.wikidata.org/entity/Q218115,Chanel,63
http://www.wikidata.org/entity/Q212405,Procter & Gamble,62
http://www.wikidata.org/entity/Q1538507,Jack in the Box,62
http://www.wikidata.org/entity/Q105557,Embraer,62
http://www.wikidata.org/entity/Q188710,Thai Airways International,62
http://www.wikidata.org/entity/Q26070,Uniqlo,62
http://www.wikidata.org/entity/Q35962,Maserati,62
http://www.wikidata.org/entity/Q2084900,OPPO,62
http://www.wikidata.org/entity/Q186471,Ultimate Fighting Championship,62
http://www.wikidata.org/entity/Q206978,Sprite,61
http://www.wikidata.org/entity/Q190464,HSBC,61
http://www.wikidata.org/entity/Q191551,Easyjet,61
http://www.wikidata.org/entity/Q234803,Rolls-Royce Motor Cars,61
http://www.wikidata.org/entity/Q27224,Bentley,61
http://www.wikidata.org/entity/Q36033,Mitsubishi Motors,61
http://www.wikidata.org/entity/Q194297,Guinness,61
http://www.wikidata.org/entity/Q122141,Vodafone,61
http://www.wikidata.org/entity/Q147662,Zara,61
http://www.wikidata.org/entity/Q233929,Nascar,61
http://www.wikidata.org/entity/Q481778,Acer,61
http://www.wikidata.org/entity/Q56760250,Sony Music Entertainment,61
http://www.wikidata.org/entity/Q213140,Japan Airlines,60
http://www.wikidata.org/entity/Q319642,Chevron,60
http://www.wikidata.org/entity/Q485593,Red Hat,60
http://www.wikidata.org/entity/Q489921,Mastercard,60
http://www.wikidata.org/entity/Q52618,Ericsson,60
http://www.wikidata.org/entity/Q53238,Hitachi,60
http://www.wikidata.org/entity/Q35896,Lancia,60
http://www.wikidata.org/entity/Q223142,Box Office Mojo,60
http://www.wikidata.org/entity/Q487907,Bank of America,60
http://www.wikidata.org/entity/Q1043486,Carl's Jr.,60
http://www.wikidata.org/entity/Q219400,United Artists,59
http://www.wikidata.org/entity/Q201821,Finnair,59
http://www.wikidata.org/entity/Q191715,Warner Media Group,59
http://www.wikidata.org/entity/Q332477,Victoria's Secret,59
http://www.wikidata.org/entity/Q51747,Air China,59
http://www.wikidata.org/entity/Q9401,BASF SE,58
http://www.wikidata.org/entity/Q153364,Vita rosen,58
http://www.wikidata.org/entity/Q188217,Seat,58
http://www.wikidata.org/entity/Q188454,Yamaha Corporation,58
http://www.wikidata.org/entity/Q193326,Goldman Sachs,58
http://www.wikidata.org/entity/Q32141,Cathay Pacific,58
http://www.wikidata.org/entity/Q53227,Sharp,58
http://www.wikidata.org/entity/Q192653,CSA Czech Airlines,58
http://www.wikidata.org/entity/Q151954,Lidl,58
http://www.wikidata.org/entity/Q843887,Hermès,58
http://www.wikidata.org/entity/Q860580,Tencent,58
http://www.wikidata.org/entity/Q244457,Subway,58
http://www.wikidata.org/entity/Q131324035,Labubu,57
http://www.wikidata.org/entity/Q192314,J.P. Morgan Chase,57
http://www.wikidata.org/entity/Q204284,All Nippon Airways,57
http://www.wikidata.org/entity/Q500088,Dreamworks Animation,57
http://www.wikidata.org/entity/Q45700,Konami,57
http://www.wikidata.org/entity/Q107074885,Warner Brothers Discovery,57
http://www.wikidata.org/entity/Q29043471,Neuralink,57
http://www.wikidata.org/entity/Q14428,Capcom,57
http://www.wikidata.org/entity/Q193199,UBS,56
http://www.wikidata.org/entity/Q463094,Foxconn,56
http://www.wikidata.org/entity/Q487494,Tesco,56
http://www.wikidata.org/entity/Q544847,Qualcomm,56
http://www.wikidata.org/entity/Q183412,EMI,56
http://www.wikidata.org/entity/Q542767,Christian Dior SA,56
http://www.wikidata.org/entity/Q219635,BlackRock,55
http://www.wikidata.org/entity/Q489815,DHL,55
http://www.wikidata.org/entity/Q204296,Air New Zealand,55
http://www.wikidata.org/entity/Q212322,Glaxo Smith Kline,55
http://www.wikidata.org/entity/Q291796,China Eastern Airlines,55
http://www.wikidata.org/entity/Q217338,Casio,55
http://www.wikidata.org/entity/Q839466,Domino's Pizza,55
http://www.wikidata.org/entity/Q127955,Nikola Tesla-flygplatsen,55
http://www.wikidata.org/entity/Q8681,Pan American World Airways,55
http://www.wikidata.org/entity/Q190238,Norsk Rikskringkasting,55
http://www.wikidata.org/entity/Q194393,SK Slavia Prag,55
http://www.wikidata.org/entity/Q27564,Dodge,55
http://www.wikidata.org/entity/Q32277,Virgin Atlantic Airways,55
http://www.wikidata.org/entity/Q504998,LVMH,55
http://www.wikidata.org/entity/Q15733006,Deepmind,55
http://www.wikidata.org/entity/Q29803,Isuzu,54
http://www.wikidata.org/entity/Q217673,Vespa,54
http://www.wikidata.org/entity/Q51711,Quora,54
http://www.wikidata.org/entity/Q217583,Berkshire Hathaway,54
http://www.wikidata.org/entity/Q503308,Southwest Airlines,54
http://www.wikidata.org/entity/Q156376,Vimeo,54
http://www.wikidata.org/entity/Q44868,Guangzhou (flygplats),54
http://www.wikidata.org/entity/Q113215,Carlsberg,54
http://www.wikidata.org/entity/Q215293,Volvo Personvagnar,54
http://www.wikidata.org/entity/Q407448,Air Liquide,54
http://www.wikidata.org/entity/Q658192,Vilnius universitet,54
http://www.wikidata.org/entity/Q847743,Dunkin' Donuts,54
http://www.wikidata.org/entity/Q162345,LG Electronics,53
http://www.wikidata.org/entity/Q193412,Texas Instruments,53
